Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
LED29_L1   LM301B           -1574.803mil   1181.102mil  -1574.803mil   1181.102mil  -1574.803mil   1211.614mil  T        360.00 5000K          
LED29_L2   LM301B           -1574.803mil  -3543.307mil  -1574.803mil  -3543.307mil  -1574.803mil  -3512.795mil  T        360.00 5000K          
LED30_L1   LM301B           -1574.803mil    393.701mil  -1574.803mil    393.701mil  -1574.803mil    424.213mil  T        360.00 2700K          
LED30_L2   LM301B           -1574.803mil  -4330.709mil  -1574.803mil  -4330.709mil  -1574.803mil  -4300.197mil  T        360.00 2700K          
LED31_L1   LM301B            -787.402mil   4330.709mil   -787.402mil   4330.709mil   -787.402mil   4361.221mil  T        360.00 2700K          
LED31_L2   LM301B            -787.402mil   -393.701mil   -787.402mil   -393.701mil   -787.402mil   -363.189mil  T        360.00 2700K          
LED32_L1   LM301B            -787.402mil   3543.307mil   -787.402mil   3543.307mil   -787.402mil   3573.819mil  T        360.00 5000K          
LED32_L2   LM301B            -787.402mil  -1181.102mil   -787.402mil  -1181.102mil   -787.402mil  -1150.591mil  T        360.00 5000K          
LED33_L1   LM301B            -787.402mil   2755.906mil   -787.402mil   2755.905mil   -787.402mil   2786.417mil  T        360.00 2700K          
LED33_L2   LM301B            -787.402mil  -1968.504mil   -787.402mil  -1968.504mil   -787.402mil  -1937.992mil  T        360.00 2700K          
LED34_L1   LM301B            -787.402mil   1968.504mil   -787.402mil   1968.504mil   -787.402mil   1999.016mil  T        360.00 2700K          
LED34_L2   LM301B            -787.402mil  -2755.905mil   -787.402mil  -2755.905mil   -787.402mil  -2725.394mil  T        360.00 2700K          
LED35_L1   LM301B            -787.402mil   1181.102mil   -787.402mil   1181.102mil   -787.402mil   1211.614mil  T        360.00 5000K          
LED35_L2   LM301B            -787.402mil  -3543.307mil   -787.402mil  -3543.307mil   -787.402mil  -3512.795mil  T        360.00 5000K          
LED36_L1   LM301B            -787.402mil    393.701mil   -787.402mil    393.701mil   -787.402mil    424.213mil  T        360.00 2700K          
LED36_L2   LM301B            -787.402mil  -4330.709mil   -787.402mil  -4330.709mil   -787.402mil  -4300.197mil  T        360.00 2700K          
R1_D2      2512              -354.331mil  -2200.787mil   -354.331mil  -2200.787mil    -236.22mil  -2200.787mil  T        180.00 0.1R           
U1_D1      MSOP-8EP          -354.331mil    590.551mil   -354.331mil    590.551mil   -432.087mil    628.937mil  T        360.00 AL8806MP8-13   
U1_D2      MSOP-8EP          -354.331mil  -2362.205mil   -354.331mil  -2362.205mil   -432.087mil  -2323.819mil  T        360.00 AL8806MP8-13   
R2         0603               -17.717mil  -3322.835mil    -17.717mil  -3322.835mil    -47.244mil  -3322.835mil  T        360.00 51K            
R3         0603               -17.717mil  -3261.811mil    -17.717mil  -3261.811mil    -47.244mil  -3261.811mil  T          0.00 10K            
R4         2512              -354.331mil    165.354mil   -354.331mil    165.354mil    -236.22mil    165.354mil  T        180.00 0R             
R5         0603               -97.441mil  -3292.323mil    -97.441mil  -3292.323mil    -97.441mil   -3321.85mil  T         90.00 30K            
R7         2512               354.331mil   1251.968mil    354.331mil   1251.968mil     236.22mil   1251.968mil  T        360.00 0R             
R8         2512               354.331mil   1992.126mil    354.331mil   1992.126mil     236.22mil   1992.126mil  T        360.00 0R             

