Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED15_L_3  LM301B            2204.724mil  -1653.543mil   2204.724mil  -1653.543mil   2204.724mil  -1684.055mil  T        180.00 2700K          
LED16_L_3  LM301B            2204.724mil  -1181.102mil   2204.724mil  -1181.102mil   2204.724mil  -1211.614mil  T        180.00 2700K          
LED17_L_3  LM301B            2204.724mil   -708.662mil   2204.724mil   -708.661mil   2204.724mil   -739.173mil  T        180.00 5000K          
LED18_L_3  LM301B            2204.724mil   -236.221mil   2204.724mil    -236.22mil   2204.724mil   -266.732mil  T        180.00 2700K          
LED19_L_3  LM301B            2992.126mil  -2598.425mil   2992.126mil  -2598.425mil   2992.126mil  -2628.937mil  T        180.00 2700K          
LED20_L_3  LM301B            2992.126mil  -2125.984mil   2992.126mil  -2125.984mil   2992.126mil  -2156.496mil  T        180.00 5000K          
LED21_L_3  LM301B            2992.126mil  -1653.543mil   2992.126mil  -1653.543mil   2992.126mil  -1684.055mil  T        180.00 2700K          
LED22_L_3  LM301B            2992.126mil  -1181.102mil   2992.126mil  -1181.102mil   2992.126mil  -1211.614mil  T        180.00 2700K          
LED23_L_3  LM301B            2992.126mil   -708.662mil   2992.126mil   -708.661mil   2992.126mil   -739.173mil  T        180.00 5000K          
LED24_L_3  LM301B            2992.126mil   -236.221mil   2992.126mil    -236.22mil   2992.126mil   -266.732mil  T        180.00 2700K          
LED25_L_3  LM301B            3779.528mil  -2598.425mil   3779.528mil  -2598.425mil   3779.528mil  -2628.937mil  T        180.00 2700K          
LED26_L_3  LM301B            3779.528mil  -2125.984mil   3779.528mil  -2125.984mil   3779.528mil  -2156.496mil  T        180.00 5000K          
LED27_L_3  LM301B            3779.528mil  -1653.543mil   3779.528mil  -1653.543mil   3779.528mil  -1684.055mil  T        180.00 2700K          
LED28_L_3  LM301B            3779.528mil  -1181.102mil   3779.528mil  -1181.102mil   3779.528mil  -1211.614mil  T        180.00 2700K          
LED29_L_3  LM301B            3779.528mil   -708.662mil   3779.528mil   -708.661mil   3779.528mil   -739.173mil  T        180.00 5000K          
LED30_L_3  LM301B            3779.528mil   -236.221mil   3779.528mil    -236.22mil   3779.528mil   -266.732mil  T        180.00 2700K          
LED31_L_3  LM301B            4566.929mil  -2598.425mil   4566.929mil  -2598.425mil   4566.929mil  -2628.937mil  T        180.00 2700K          
LED32_L_3  LM301B            4566.929mil  -2125.984mil   4566.929mil  -2125.984mil   4566.929mil  -2156.496mil  T        180.00 5000K          
LED33_L_3  LM301B            4566.929mil  -1653.543mil   4566.929mil  -1653.543mil   4566.929mil  -1684.055mil  T        180.00 2700K          
LED34_L_3  LM301B            4566.929mil  -1181.102mil   4566.929mil  -1181.102mil   4566.929mil  -1211.614mil  T        180.00 2700K          
LED35_L_3  LM301B            4566.929mil   -708.662mil   4566.929mil   -708.661mil   4566.929mil   -739.173mil  T        180.00 5000K          
LED36_L_3  LM301B            4566.929mil   -236.221mil   4566.929mil    -236.22mil   4566.929mil   -266.732mil  T        180.00 2700K          
LED1_L_1   LM301B             629.921mil     236.22mil    629.921mil     236.22mil    629.921mil    205.709mil  T        180.00 2700K          
LED2_L_1   LM301B             629.921mil    708.661mil    629.921mil    708.661mil    629.921mil    678.149mil  T        180.00 5000K          
LED3_L_1   LM301B             629.921mil   1181.102mil    629.921mil   1181.102mil    629.921mil   1150.591mil  T        180.00 2700K          
LED4_L_1   LM301B             629.921mil   1653.543mil    629.921mil   1653.543mil    629.921mil   1623.031mil  T        180.00 2700K          
LED5_L_1   LM301B             629.921mil   2125.984mil    629.921mil   2125.984mil    629.921mil   2095.472mil  T        180.00 5000K          
LED6_L_1   LM301B             629.921mil   2598.425mil    629.921mil   2598.425mil    629.921mil   2567.913mil  T        180.00 2700K          
LED7_L_1   LM301B            1417.323mil     236.22mil   1417.323mil     236.22mil   1417.323mil    205.709mil  T        180.00 2700K          
LED8_L_1   LM301B            1417.323mil    708.661mil   1417.323mil    708.661mil   1417.323mil    678.149mil  T        180.00 5000K          
LED9_L_1   LM301B            1417.323mil   1181.102mil   1417.323mil   1181.102mil   1417.323mil   1150.591mil  T        180.00 2700K          
LED10_L_1  LM301B            1417.323mil   1653.543mil   1417.323mil   1653.543mil   1417.323mil   1623.031mil  T        180.00 2700K          
LED11_L_1  LM301B            1417.323mil   2125.984mil   1417.323mil   2125.984mil   1417.323mil   2095.472mil  T        180.00 5000K          
LED12_L_1  LM301B            1417.323mil   2598.425mil   1417.323mil   2598.425mil   1417.323mil   2567.913mil  T        180.00 2700K          
LED13_L_1  LM301B            2204.724mil     236.22mil   2204.724mil     236.22mil   2204.724mil    205.709mil  T        180.00 2700K          
LED14_L_1  LM301B            2204.724mil    708.661mil   2204.724mil    708.661mil   2204.724mil    678.149mil  T        180.00 5000K          
LED15_L_1  LM301B            2204.724mil   1181.102mil   2204.724mil   1181.102mil   2204.724mil   1150.591mil  T        180.00 2700K          
LED16_L_1  LM301B            2204.724mil   1653.543mil   2204.724mil   1653.543mil   2204.724mil   1623.031mil  T        180.00 2700K          
LED17_L_1  LM301B            2204.724mil   2125.984mil   2204.724mil   2125.984mil   2204.724mil   2095.472mil  T        180.00 5000K          
LED18_L_1  LM301B            2204.724mil   2598.425mil   2204.724mil   2598.425mil   2204.724mil   2567.913mil  T        180.00 2700K          
LED19_L_1  LM301B            2992.126mil     236.22mil   2992.126mil     236.22mil   2992.126mil    205.709mil  T        180.00 2700K          
LED20_L_1  LM301B            2992.126mil    708.661mil   2992.126mil    708.661mil   2992.126mil    678.149mil  T        180.00 5000K          
LED21_L_1  LM301B            2992.126mil   1181.102mil   2992.126mil   1181.102mil   2992.126mil   1150.591mil  T        180.00 2700K          
LED22_L_1  LM301B            2992.126mil   1653.543mil   2992.126mil   1653.543mil   2992.126mil   1623.031mil  T        180.00 2700K          
LED23_L_1  LM301B            2992.126mil   2125.984mil   2992.126mil   2125.984mil   2992.126mil   2095.472mil  T        180.00 5000K          
LED24_L_1  LM301B            2992.126mil   2598.425mil   2992.126mil   2598.425mil   2992.126mil   2567.913mil  T        180.00 2700K          
LED25_L_1  LM301B            3779.528mil     236.22mil   3779.528mil     236.22mil   3779.528mil    205.709mil  T        180.00 2700K          
LED26_L_1  LM301B            3779.528mil    708.661mil   3779.528mil    708.661mil   3779.528mil    678.149mil  T        180.00 5000K          
LED27_L_1  LM301B            3779.528mil   1181.102mil   3779.528mil   1181.102mil   3779.528mil   1150.591mil  T        180.00 2700K          
LED28_L_1  LM301B            3779.528mil   1653.543mil   3779.528mil   1653.543mil   3779.528mil   1623.031mil  T        180.00 2700K          
LED29_L_1  LM301B            3779.528mil   2125.984mil   3779.528mil   2125.984mil   3779.528mil   2095.472mil  T        180.00 5000K          
LED30_L_1  LM301B            3779.528mil   2598.425mil   3779.528mil   2598.425mil   3779.528mil   2567.913mil  T        180.00 2700K          
LED31_L_1  LM301B            4566.929mil     236.22mil   4566.929mil     236.22mil   4566.929mil    205.709mil  T        180.00 2700K          
LED32_L_1  LM301B            4566.929mil    708.661mil   4566.929mil    708.661mil   4566.929mil    678.149mil  T        180.00 5000K          
LED33_L_1  LM301B            4566.929mil   1181.102mil   4566.929mil   1181.102mil   4566.929mil   1150.591mil  T        180.00 2700K          
LED34_L_1  LM301B            4566.929mil   1653.543mil   4566.929mil   1653.543mil   4566.929mil   1623.031mil  T        180.00 2700K          
LED35_L_1  LM301B            4566.929mil   2125.984mil   4566.929mil   2125.984mil   4566.929mil   2095.472mil  T        180.00 5000K          
LED36_L_1  LM301B            4566.929mil   2598.425mil   4566.929mil   2598.425mil   4566.929mil   2567.913mil  T        180.00 2700K          

